City,Date,NO2,CO,SO2
Ahmedabad,2016-05-29,,,
Ahmedabad,2016-05-30,,,
Ahmedabad,2016-05-31,,,
Ahmedabad,2016-06-01,,,
Ahmedabad,2016-06-02,,,
Ahmedabad,2016-06-03,,,
Ahmedabad,2016-06-04,,,
Ahmedabad,2016-06-05,,,
Ahmedabad,2016-06-06,,,
Ahmedabad,2016-06-07,,,
Ahmedabad,2016-06-08,,,
Ahmedabad,2016-06-09,,,
Ahmedabad,2016-06-10,,,
Ahmedabad,2016-06-11,,,
Ahmedabad,2016-06-12,,,
Ahmedabad,2016-06-13,,,
Ahmedabad,2016-06-14,,,
Ahmedabad,2016-06-15,,,
Ahmedabad,2016-06-16,,,
Ahmedabad,2016-06-17,,,
Ahmedabad,2016-06-18,,,
Ahmedabad,2016-06-19,,,
Ahmedabad,2016-06-20,,,
Ahmedabad,2016-06-21,,,
Ahmedabad,2016-06-22,,,
Ahmedabad,2016-06-23,,,
Ahmedabad,2016-06-24,,,
Ahmedabad,2016-06-25,,,
Ahmedabad,2016-06-26,,,
Ahmedabad,2016-06-27,28.91,11.69,1.38
Ahmedabad,2016-06-28,28.12,9.81,1.61
Ahmedabad,2016-06-29,31.82,10.45,1.7
Ahmedabad,2016-06-30,15.99,10.41,1.6
Ahmedabad,2016-07-01,10.11,9.39,1.57
Ahmedabad,2016-07-02,7.49,9.04,1.6
Ahmedabad,2016-07-03,6.52,8.36,1.63
Ahmedabad,2016-07-04,2.79,8.68,1.69
Ahmedabad,2016-07-05,2.78,8.11,1.42
Ahmedabad,2016-07-06,1.65,7.38,1.44
Ahmedabad,2016-07-07,1.67,7.5,1.53
Ahmedabad,2016-07-08,1.8,7.3,1.8
Ahmedabad,2016-07-09,1.9,7.05,1.4
Ahmedabad,2016-07-10,2.5,6.7,0.9
Ahmedabad,2016-07-11,3.93,7.7,1.32
Ahmedabad,2016-07-12,,,
Ahmedabad,2016-07-13,11.73,24.46,14.6
Ahmedabad,2016-07-14,48.06,46.51,23.13
Ahmedabad,2016-07-15,37.13,0.98,19.01
Ahmedabad,2016-07-16,36.77,4.09,17.01
Ahmedabad,2016-07-17,34.38,6.02,14.17
Ahmedabad,2016-07-18,36.8,4.92,14.66
Ahmedabad,2016-07-19,54.7,100.77,15.75
Ahmedabad,2016-07-20,22.75,1.67,15.47
Ahmedabad,2016-07-21,30.88,1.94,14.26
Ahmedabad,2016-07-22,25.15,2.57,17.02
Ahmedabad,2016-07-23,38.78,1.64,15.8
Ahmedabad,2016-07-24,39.23,6.67,15.07
Ahmedabad,2016-07-25,39.95,8.85,15.37
Ahmedabad,2016-07-26,33.24,3.87,15
Ahmedabad,2016-07-27,20.32,18.76,16.78
Ahmedabad,2016-07-28,23.28,26.51,13.74
Ahmedabad,2016-07-29,29.66,86.72,14.31
Ahmedabad,2016-07-30,30.66,84.21,15.67
Ahmedabad,2016-07-31,28.27,72.58,14.63
Ahmedabad,2016-08-01,30.42,79.53,14.95
Ahmedabad,2016-08-02,29.75,83.72,15.31
Ahmedabad,2016-08-03,29.34,89.85,14.18
Ahmedabad,2016-08-04,13,10.63,13.06
Ahmedabad,2016-08-05,13.41,5.06,19.54
